Algorithm , InputSize , HullPercent , AvgSolveTime
Graham , 1000 , Min , 3.6
Jarvis , 1000 , Min , 0.2
Graham , 1000 , 0.0 , 1.6
Jarvis , 1000 , 0.0 , 1.2
Graham , 1000 , 0.05 , 1.6
Jarvis , 1000 , 0.05 , 2.0
Graham , 1000 , 0.1 , 3.6
Jarvis , 1000 , 0.1 , 2.2
Graham , 1000 , 0.15 , 1.2
Jarvis , 1000 , 0.15 , 1.8
Graham , 1000 , 0.2 , 1.4
Jarvis , 1000 , 0.2 , 4.0
Graham , 10000 , Min , 21.4
Jarvis , 10000 , Min , 6.2
Graham , 10000 , 0.0 , 15.4
Jarvis , 10000 , 0.0 , 4.4
Graham , 10000 , 0.05 , 11.0
Jarvis , 10000 , 0.05 , 65.6
Graham , 10000 , 0.1 , 6.2
Jarvis , 10000 , 0.1 , 75.2
Graham , 10000 , 0.15 , 4.6
Jarvis , 10000 , 0.15 , 80.4
Graham , 10000 , 0.2 , 3.2
Jarvis , 10000 , 0.2 , 89.8
Graham , 100000 , Min , 43.6
Jarvis , 100000 , Min , 16.4
Graham , 100000 , 0.0 , 53.0
Jarvis , 100000 , 0.0 , 28.0
Graham , 100000 , 0.05 , 48.8
Jarvis , 100000 , 0.05 , 2112.6
Graham , 100000 , 0.1 , 45.8
Jarvis , 100000 , 0.1 , 4208.8
Graham , 100000 , 0.15 , 44.8
Jarvis , 100000 , 0.15 , 6518.4
Graham , 100000 , 0.2 , 41.6
Jarvis , 100000 , 0.2 , 8622.4
